,sentences
10,"['ran', 'birthday', 'detect', 'conan', 'usual', 'seen', 'import', 'anim', 'manga', 'talk', 'lot', 'yet', 'throughout', 'entir', 'seri', 'episod', 'volum', 'never', 'actual', 'happen', 'ran', 'birthday', 'import', 'plot']"
11,"['death', 'note', 'manga', 'anim', 'state', 'multipl', 'time', 'ryuk', 'death', 'note', 'human', 'neither', 'heaven', 'hell', 'howev', 'hint', 'addit', 'movi', 'encompass', 'part', 'anim', 'light', 'reincarn', 'shinigami', 'possibl', 'human', 'death', 'note', 'heaven', 'hell', 'shinigami', 'realm']"
12,"['understood', 'edo', 'tensei', 'techniqu', 'your', 'resurrect', 'techniqu', 'dismiss', 'origin', 'caster', 'actual', 'madara', 'uchiha', 'edo', 'tensei', 'use', 'origin', 'sacrific', 'kabuto', 'gave', 'new', 'caster', 'reviv', 'madara', 'said', 'chpater', 'page', 'risk', 'techniqu', 'seal', 'releas', 'summon', 'contract', 'basic', 'free', 'caster', 'control', 'madara', 'soul', 'wasnt', 'bound', 'kabuto', 'anymor', 'tell', 'forbidden', 'jutsu', 'lightli', 'next']"
13,"['eyeshield', 'deimon', 'win', 'game', 'oujou', 'get', 'christma', 'bowl', 'theyr', 'never', 'shown', 'actual', 'play', 'christma', 'bowl', 'manga', 'went', 'anim', 'show', 'beat', 'oujou', 'play', 'profession', 'footbal', 'assum']"
14,"['luffi', 'dream', 'pirat', 'king', 'definit', 'piec', 'pirat', 'king', 'someon', 'freeli', 'wander', 'grand', 'line', 'sure', 'find', 'piec', 'necess', 'becom', 'pirat', 'king', 'enough', 'condit', 'luffi', 'love', 'adventur', 'natur', 'doesnt', 'find', 'piec', 'easili', 'want', 'ask', 'rayleigh', 'locat', 'sabaodi', 'archipelago', 'arc', 'usopp', 'ask', 'shout', 'great', 'voic', 'made', 'usopp', 'stop', 'ask', 'said', 'learn', 'locat', 'even', 'learn', 'exist', 'quit', 'pirat', 'moment', 'luffi', 'simpli', 'want', 'follow', 'step', 'former', 'pirat', 'king', 'gol', 'roger', 'experi', 'good', 'adventur', 'want', 'fight', 'strong', 'oppon', 'alway', 'choos', 'hardest', 'path', 'find', 'piec', 'goal', 'cours', 'spent', 'learn', 'cliff', 'climb', 'skill', 'instead', 'wast', 'sea', 'final', 'climb', 'huge', 'wall', 'red', 'line', 'search', 'raftel', 'note', 'locat', 'raftel', 'unknown', 'even', 'shirohig', 'didnt', 'rememb', 'flashback', 'war', 'marin', 'headquart', 'gol', 'roger', 'ask', 'shirohin', 'want', 'tell', 'locat', 'raftel']"
15,"['end', 'last', 'episod', 'cowboy', 'bebop', 'spike', 'collaps', 'clear', 'look', 'though', 'dead', 'way', 'whether', 'aliv', 'dead', 'background', 'comment', 'director', 'continu', 'stori', 'manga', 'etc']"
16,"['human', 'die', 'dont', 'heaven', 'hell', 'neither', 'exist', 'mu', 'mean', 'noth', 'death', 'note', 'volum', 'page', 'two', 'rule', 'regard', 'mu', 'human', 'without', 'except', 'eventu', 'die', 'die', 'place', 'mu', 'nothing', 'basic', 'there', 'noth', 'death', 'shinigami', 'differ', 'speci']"
17,"['accord', 'wikipedia', 'howev', 'interview', 'watanab', 'state', 'ive', 'never', 'offici', 'said', 'die', 'point', 'tell', 'im', 'sure', 'he', 'aliv', 'dead', 'link', 'sourc', 'though', 'hard', 'look', 'unfortun']"
18,"['follow', 'uchiha', 'itachi', 'perform', 'massacr', 'kill', 'later', 'sasuk', 'accord', 'plan', 'reanim', 'eventu', 'die', 'perman', 'uchiha', 'sasuk', 'spare', 'itachi', 'hope', 'make', 'strong', 'still', 'aliv', 'that', 'tradit', 'one', 'madara', 'uchiha', 'dead', 'massacr', 'later', 'reanim', 'uchiha', 'obito', 'surviv', 'massacr', 'fact', 'help', 'itachi', 'execut', 'tobi', 'sarada', 'uchiha', 'sasuk', 'sakura', 'daughter', 'count', 'purpos', 'list']"
19,"['seem', 'though', 'lot', 'anim', 'product', 'cycl', 'put', 'seri', 'seem', 'fairli', 'popular', 'end', 'long', 'manga', 'storylin', 'obvious', 'big', 'reason', 'make', 'anim', 'peopl', 'buy', 'origin', 'manga', 'anim', 'seri', 'turn', 'profit', 'tough', 'imagin', 'american', 'viewpoint', 'anyway', 'produc', 'abandon', 'easili', 'continu', 'given', 'proven', 'popular', 'voic', 'actor', 'line', 'storylin', 'set', 'etc', 'overarch', 'reason', 'mani', 'anim', 'turn', 'profit']"
20,"['itachi', 'uchiha', 'sasuk', 'uchiha', 'spoiler', 'madara', 'uchiha', 'aliv', 'obito', 'flashback', 'sure', 'still', 'aliv', 'clan', 'massacr', 'obito', 'uchiha', 'tobi', 'turn', 'realli', 'obito']"
21,"['shinichiro', 'watanab', 'state', 'ive', 'never', 'offici', 'said', 'die', 'point', 'tell', 'im', 'sure', 'he', 'aliv', 'dead', 'decid', 'leav', 'openend', 'even', 'mani', 'hypothesi', 'internet', 'guess', 'real', 'answer', 'ask', 'sourc', 'rapptz', 'answer', 'top', 'page']"
22,"['place', 'mobil', 'suit', 'gundam', 'seed', 'kira', 'yamato', 'face', 'certain', 'death', 'presum', 'dead', 'charact', 'miracul', 'reappear', 'later', 'episod', 'im', 'curiou', 'particular', 'incid', 'duel', 'athrun', 'aegi', 'athrun', 'set', 'aegi', 'self', 'destruct', 'attach', 'kira', 'suit', 'bail', 'avoid', 'explos', 'kira', 'appar', 'trap', 'deadli', 'blast', 'though', 'assum', 'he', 'clone', 'human', 'coordin', 'seed', 'almost', 'certainli', 'technolog', 'somehow', 'manag', 'surviv', 'escap', 'situat', 'kira', 'surviv', 'aegi', 'selfdestruct', 'pointblank', 'rang', 'mobil', 'suit']"
23,"['episod', 'valkyria', 'chronicl', 'maximilian', 'shoot', 'strongli', 'impli', 'kill', 'jaeger', 'yet', 'credit', 'final', 'episod', 'jaeger', 'clearli', 'seen', 'walk', 'background', 'train', 'station', 'what', 'deal', 'jaeger', 'shot', 'shot', 'surviv', 'world', 'escap', 'rest', 'crumbl', 'fortress']"
24,"['let', 'extract', 'text', 'visual', 'novel', 'purpos', 'look', 'word', 'dictionari', 'feed', 'machin', 'translat', 'accomplish']"
25,"['explain', 'whether', 'effici', 'produc', 'anim', 'manga', 'anim', 'need', 'made', 'frame', 'frame', 'peopl', 'record', 'voic', 'manga', 'need', 'lot', 'paper', 'print', 'effici', 'mean', 'profit', 'take', 'le']"
26,"['anim', 'much', 'bigger', 'japan', 'lot', 'manga', 'given', 'shot', 'anim', 'adapt', 'didnt', 'follow', 'eventu', 'got', 'pull', 'opinion', 'manga', 'popular', 'japan', 'first', 'network', 'head', 'start', 'export', 'anim', 'offici', 'reason', 'asid', 'profit', 'gintama', 'exampl', 'cant', 'sure', 'pull', 'air', 'profit', 'doubt', 'network', 'wasnt', 'happi', 'show', 'direct', 'ye', 'big', 'reason', 'pull', 'air', 'anim', 'didnt', 'enough', 'profit', 'competit', 'market']"
27,"['softwar', 'anim', 'game', 'text', 'hooker', 'interact', 'text', 'hooker', 'especi', 'made', 'purpos', 'peopl', 'togeth', 'autom', 'translat', 'tool', 'agth', 'tutori', 'exampl', 'screenshot', 'look', 'action', 'ith', 'tutori', 'exampl', 'screenshot', 'look', 'action']"
28,"['spirit', 'energi', 'part', 'one', 'life', 'energi', 'extens', 'one', 'soul', 'genkai', 'transfer', 'spirit', 'energi', 'yusuk', 'teach', 'techniqu', 'incred', 'pain', 'receiv', 'overwhelm', 'amount', 'energysoul', 'bodi', 'take', 'adjust', 'new', 'level', 'energi']"
29,"['im', 'kind', 'fan', 'travel', 'stori', 'got', 'littl', 'disappoint', 'steinsgat', 'accord', 'wikipedia', 'differ', 'rule', 'mutabl', 'timelin', 'immut', 'timelin', 'altern', 'timelin', 'explain', 'timelin', 'show', 'got', 'idea', 'timelin', 'altern', 'got', 'alphabeta', 'timelin', 'go', 'immut', 'timelin', 'alternatedifficulttoreach', 'timelin', 'end', 'okab', 'couldnt', 'chang', 'beta', 'timelin', 'except', 'cheat', 'timelin', 'mutabl', 'script', 'writer', 'cherrypick', 'thing', 'felt', 'add', 'drama', 'exampl', 'tell', 'kurisu', 'dy', 'timelin', 'beta', 'mayuri', 'dy', 'timelin', 'alpha', 'wouldnt', 'solut', 'go', 'timelin', 'gamma', 'miss']"
30,"['anyon', 'seen', 'lucki', 'star', 'rememb', 'refer', 'anim', 'manga', 'censor', 'obviou', 'exampl', 'refer', 'gundam', 'sgt', 'frog', 'notabl', 'sunris', 'show', 'presum', 'done', 'avoid', 'kyoani', 'get', 'su', 'explain', 'refer', 'haruhi', 'full', 'metal', 'panic', 'werent', 'censor', 'far', 'rememb', 'interestingli', 'instanc', 'censorship', 'probabl', 'remov', 'english', 'releas', 'sinc', 'licens', 'bandai', 'dont', 'actual', 'question', 'might', 'appli', 'japanes', 'version', 'howev', 'still', 'case', 'refer', 'werent', 'censor', 'despit', 'obviou', 'connect', 'lucki', 'star', 'team', 'sourc', 'immedi', 'come', 'mind', 'heart', 'referenc', 'sever', 'time', 'heart', 'associ', 'vn', 'studio', 'leaf', 'well', 'anim', 'studio', 'orient', 'light', 'magic', 'aic', 'neither', 'anyth', 'lucki', 'star', 'kyoani', 'kadokawa', 'cant', 'find', 'connect', 'cours', 'oversight', 'part', 'didnt', 'check', 'individu', 'staff', 'member', 'connect', 'miss', 'bar', 'sort', 'polici', 'studio', 'typic', 'refer', 'tri', 'obtain', 'permiss', 'refer', 'bleep', 'one', 'seem', 'riski']"
31,"['doujinshi', 'seem', 'repres', 'usual', 'work', 'amateur', 'subject', 'measur', 'object', 'differ', 'work']"
32,"['depend', 'differ', 'thing', 'includ', 'content', 'style', 'made', 'ie', 'technolog', 'exist', 'way', 'anoth', 'here', 'great', 'exampl', 'multipl', 'anim', 'style', 'use', 'singl', 'show', 'high', 'qualiti', 'level', 'anim', 'transform', 'western', 'flashfriendli', 'style', 'show', 'normal', 'rather', 'garish', 'liveact', 'explos', 'end', 'requir', 'differ', 'approach', 'pay', 'attent', 'spot', 'charact', 'arent', 'move', 'much', 'certain', 'point', 'video', 'panti', 'stock', 'stand', 'still', 'disco', 'light', 'away', 'draw', 'frame', 'even', 'though', 'scene', 'go', 'much', 'longer', 'tween', 'keyfram', 'produc', 'move', 'anim', 'soccer', 'ball', 'exampl', 'ye', 'handdrawn', 'least', 'handcheck', 'even', 'comput', 'use', 'extrapol', 'keyfram', 'use', 'certain', 'anim', 'softwar', 'flash', 'toon', 'boom', 'model', 'softwar', 'blender', 'work', 'none', 'softwar', 'compens', 'bad', 'anim', 'replac', 'artist', 'helm', 'there', 'plenti', 'shortcut', 'anim', 'comput', 'never', 'draw', 'cartoon', 'still', 'part']"
33,"['youv', 'seen', 'much', 'anim', 'your', 'familiar', 'male', 'charact', 'get', 'bloodi', 'nose', 'get', 'sexual', 'excit', 'exampl', 'master', 'roshi', 'dragon', 'ball', 'umino', 'iruka', 'naruto', 'howev', 'mention', 'japanes', 'person', 'someon', 'big', 'anim', 'viewer', 'confus', 'adam', 'bloodi', 'nose', 'normal', 'mean', 'person', 'excit', 'gener', 'necessarili', 'anyth', 'sexual', 'excit', 'seem', 'like', 'true', 'japanes', 'day', 'day', 'real', 'life', 'differ', 'anim', 'connect', 'libido', 'seem', 'clear', 'someon', 'explain', 'differ', 'bloodi', 'nose', 'anim', 'use', 'signifi', 'excit', 'happen', 'often', 'alway', 'sexual', 'excit', 'plot', 'suppos', 'understood', 'bloodi', 'nose', 'interpret', 'anim', 'differ', 'normal', 'life']"
34,"['well', 'self', 'publish', 'call', 'doujinshi', 'manga', 'publish', 'manga', 'note', 'distinct', 'make', 'mention', 'rel', 'qualitysimpli', 'publish', 'presum', 'pay', 'work', 'wikipedia', 'highlight', 'first', 'paragraph', 'djinshi', 'often', 'transliter', 'doujinshi', 'japanes', 'term', 'selfpublish', 'work', 'usual', 'magazin', 'manga', 'novel', 'djinshi', 'often', 'work', 'amateur', 'though', 'profession', 'artist', 'particip', 'way', 'publish', 'materi', 'outsid', 'regular', 'industri', 'note', 'profession', 'artist', 'produc', 'doujinshi', 'theyr', 'selfpublish', 'particular', 'product']"
35,"['doujinshi', 'mean', 'publish', 'differ', 'nondoujinshi', 'manga', 'publish', 'compani', 'doujinshi', 'manga', 'selfpublish', 'manga']"
36,"['accord', 'wikipedia', 'male', 'charact', 'develop', 'bloodi', 'nose', 'around', 'femal', 'love', 'interest', 'typic', 'indic', 'arous', 'play', 'old', 'wife', 'tale', 'refer', 'end', 'sentenc', 'lead', 'sure', 'reliabl', 'sourc', 'though']"
37,"['term', 'human', 'resourc', 'well', 'product', 'cost', 'manga', 'thousand', 'time', 'effici', 'anim', 'person', 'involv', 'manga', 'product', 'chain', 'littl', 'mangaka', 'assist', 'best', 'graphic', 'design', 'staff', 'logo', 'cover', 'gener', 'brand', 'seri', 'often', 'extern', 'seri', 'editor', 'chief', 'editor', 'print', 'staff', 'distribut', 'staff', 'materi', 'need', 'minim', 'sinc', 'draw', 'stuff', 'cheap', 'lot', 'time', 'cheaper', 'need', 'anim', 'anim', 'product', 'staff', 'need', 'lot', 'time', 'amount', 'sinc', 'editor', 'name', 'producersand', 'distribut', 'staff', 'part', 'larg', 'committe', 'product', 'staff', 'director', 'anim', 'staff', 'larg', 'staff', 'cost', 'way', 'bigger', 'distribut', 'market', 'expens', 'signif', 'end', 'think', 'manga', 'way', 'effici', 'anim']"
38,"['ssj3', 'form', 'energi', 'output', 'huge', 'contrast', 'ssj4', 'form', 'proof', 'written', 'articl', 'dragon', 'ball', 'wiki', 'reason', 'behind', 'known', 'far', 'dragon', 'ball', 'gt', 'goku', 'child', 'form', 'caus', 'troubl', 'use', 'super', 'saiyan', 'small', 'bodi', 'handl', 'energi', 'output', 'transform', 'hold', 'minut', 'fight', 'goku', 'discontinu', 'usag', 'super', 'saiyan', 'heavili', 'outclass', 'raw', 'power', 'minim', 'setback', 'super', 'saiyan']"
39,"['doujinshi', 'closer', 'think', 'indieselfpublish', 'comic', 'compar', 'manga', 'profession', 'produc', 'doujinshi', 'well', 'amateur', 'mani', 'mangaka', 'produc', 'doujinshi', 'side', 'theyr', 'otherwis', 'unabl', 'produc', 'certain', 'work', 'legal', 'reason', 'doujinshi', 'often', 'limit', 'fanart', 'preexist', 'intellectu', 'properti', 'ecchi', 'materi', 'oneshot', 'qualiti', 'given', 'doujinshi', 'vari', 'result', 'sinc', 'liter', 'anyon', 'produc', 'doujinshi', 'without', 'sort', 'editori', 'oversight']"
40,"['understand', 'actual', 'first', 'led', 'believ', 'vincent', 'ergo', 'toward', 'end', 'seri', 'discov', 'sure', 'mean', 'ergo', 'creat', 'vincent', 'run', 'away', 'begin', 'vincent', 'turn', 'ergo', 'lose', 'control', 'doesnt', 'rememb', 'later', 'start', 'control', 'ergo', 'talk', 'basic', 'dont', 'understand', 'came', 'first', 'vincent', 'law', 'ergo', 'proxi', 'way', 'around', 'actual', 'two', 'differ', 'self', 'resid', 'bodi']"
41,"['bloodi', 'nose', 'gag', 'exagger', 'rise', 'blood', 'pressur', 'peopl', 'arous', 'degre', 'blood', 'shoot', 'arous', 'charact', 'nose']"
42,"['far', 'come', 'embarrass', 'arous', 'note', 'tend', 'pervert', 'bloodi', 'nose', 'least', 'theyr', 'deal', 'someon', 'primari', 'love', 'interest', 'instead', 'semi', 'innocenthonor', 'herosupport', 'charact', 'activ', 'tri', 'look', 'femal', 'chest', 'present', 'kind', 'situat', 'sudden', 'tend', 'becom', 'quit', 'embarrass', 'embarrass', 'normal', 'lead', 'face', 'fill', 'blood', 'blush', 'show', 'extrem', 'case', 'embarrass', 'nose', 'bleed', 'instead', 'excess', 'blood', 'pressur', 'buildup']"
43,"['said', 'shinigami', 'save', 'human', 'death', 'note', 'shinigami', 'dy', 'remain', 'lifespan', 'transfer', 'human', 'save', 'imagin', 'follow', 'situat', 'shinigami', 'accumul', 'year', 'lifespan', 'kill', 'lot', 'human', 'shinigami', 'kill', 'someon', 'human', 'save', 'life', 'dy', 'mean', 'human', 'gain', 'year', 'lifespan']"
44,"['ergo', 'proxi', 'scifi', 'tv', 'anim', 'seri', 'screenplay', 'dai', 'sat', 'among', 'other', 'inform', 'ergo', 'proxi', 'wikipedia']"
45,"['ergo', 'proxi', 'scifi', 'tv', 'anim', 'seri', 'screenplay', 'dai', 'satou', 'among', 'other']"
46,"['havent', 'watch', 'anim', 'mani', 'year', 'recent', 'ive', 'back', 'ive', 'seen', 'favorit', 'seri', 'fullmet', 'alchemist', 'done', 'seri', 'reboot', 'im', 'wonder', 'present', 'lot', 'deep', 'variat', 'plotwis', 'characterwis', 'otherwis', 'seri', 'updat', 'art']"
47,"['order', 'celebr', 'th', 'anniversari', 'anim', 'tenchou', 'notabl', 'appear', 'lucki', 'star', 'ufot', 'anim', 'minut', 'crossov', 'anim', 'touhou', 'anim', 'tenchou', 'ann', 'news', 'releas', 'shown', 'anim', 'ichioshi', 'bishjo', 'matsuri', 'accord', 'news', 'releas', 'abl', 'find', 'inform', 'gener', 'releas', 'ever', 'releas', 'format', 'gener', 'public']"
48,"['rememb', 'far', 'cheaper', 'easier', 'produc', 'manga', 'produc', 'anim', 'take', 'fewer', 'peopl', 'produc', 'manga', 'mean', 'le', 'money', 'need', 'pay', 'product', 'even', 'pay', 'everyon', 'involv', 'huge', 'salari', 'usual', 'dont', 'invest', 'mean', 'risk', 'anim', 'doesnt', 'turn', 'big', 'enough', 'profit', 'fast', 'enough', 'warrant', 'invest', 'keep', 'crap', 'manga', 'go', 'lot', 'longer', 'crap', 'anim', 'bar', 'financi', 'secur', 'much', 'lower']"
49,"['brotherhood', 'actual', 'faith', 'manga', 'first', 'version', 'follow', 'manga', 'extent', 'half', 'show', 'although', 'add', 'detail', 'follow', 'manga', 'whole', 'regard', 'creation', 'homunculu', 'complet', 'differ', 'first', 'seri', 'whole', 'ishbal', 'incid', 'differ', 'role', 'hohenheim', 'play', 'first', 'seri', 'rather', 'ridicul', 'compar', 'real', 'role', 'father', 'first', 'seri', 'differ', 'aspect', 'realli', 'dont', 'understand', 'number', 'episod', 'reboot', 'actual', 'catch', 'first', 'version', 'rather', 'fast', 'first', 'th', 'new', 'materi', 'compar', 'first', 'actual', 'go', 'accord', 'manga', 'end', 'brotherhood', 'episod', 'compar', 'anim', 'rather', 'differ', 'brotherhood', 'much', 'better', 'imo', 'basic', 'first', 'seri', 'opinion', 'rather', 'poor', 'compar', 'brotherhood']"
50,"['youv', 'said', 'two', 'anim', 'done', 'full', 'metal', 'alchemist', 'full', 'metal', 'alchemist', 'brotherhood', 'start', 'way', 'first', 'start', 'develop', 'follow', 'whole', 'differ', 'path', 'manga', 'air', 'manga', 'done', 'yet', 'plot', 'well', 'end', 'anim', 'invent', 'second', 'done', 'manga', 'end', 'respect', 'origin', 'manga', 'much', 'watch', 'didnt', 'distinct', 'tell', 'quit', 'object', 'even', 'first', 'faith', 'good', 'qualiti', 'speak', 'plot', 'twist', 'unexpect', 'chang', 'histori', 'similar', 'devic']"
51,"['new', 'fullmet', 'alchemist', 'seri', 'complet', 'worth', 'sinc', 'adapt', 'origin', 'manga', 'begin', 'end', 'previou', 'seri', 'realli', 'good', 'opinion', 'diverg', 'manga', 'whole', 'second', 'half', 'end', 'way', 'suppos', 'new', 'seri', 'follow', 'everyth', 'retel', 'chapter', 'previous', 'watch', 'tell', 'complet', 'new', 'stori', 'complet', 'new', 'end']"
52,"['voic', 'act', 'mani', 'thing', 'anim', 'movi', 'ovum', 'tv', 'seri', 'success', 'seiyuu', 'gain', 'follow', 'treat', 'idol', 'happen', 'major', 'charact', 'seiyuu', 'accid', 'dy', 'quit', 'product', 'finish', 'ever', 'happen', 'consequ', 'measur', 'taken', 'reaction', 'fan', 'measur']"
53,"['seri', 'develop', 'seem', 'ergo', 'proxi', 'grow', 'number', 'philosoph', 'refer', 'concept', 'anamnesi', 'episod', 'councilcollect', 'figur', 'event', 'episod', 'everi', 'discuss', 'vincent', 'ergo', 'self', 'especi', 'episod', 'numer', 'other', 'dont', 'recal', 'moment', 'philosoph', 'conceptsauthor', 'referenc', 'portray', 'seri']"
54,"['hiro', 'mashima', 'author', 'fairi', 'tail', 'realli', 'similar', 'draw', 'style', 'eiichiro', 'oda', 'piec', 'mangaka', 'well', 'known', 'mangaka', 'previous', 'work', 'assist', 'other', 'hiroyuki', 'takei', 'eiichiro', 'oda', 'work', 'nobuhiro', 'watsuki', 'wonder', 'hiro', 'mashima', 'common', 'eiichiro', 'oda', 'sinc', 'similar', 'style', 'begin']"
55,"['essenti', 'ye', 'becom', 'semiimmort', 'long', 'long', 'natur', 'life', 'theyll', 'still', 'vulner', 'death']"
56,"['happen', 'occasion', 'recent', 'exampl', 'think', 'kawaragi', 'shiho', 'seiyuu', 'nishizono', 'mio', 'littl', 'buster', 'got', 'pregnant', 'fact', 'recent', 'gave', 'birth', 'last', 'friday', 'decemb', 'th', 'cours', 'mio', 'isnt', 'main', 'charact', 'she', 'minor', 'charact', 'either', 'case', 'replac', 'tatsumi', 'yuiko', 'that', 'real', 'option', 'unless', 'problem', 'short', 'durat', 'entir', 'show', 'go', 'delay', 'seiyuu', 'happen', 'well', 'advanc', 'charact', 'pretti', 'import', 'probabl', 'work', 'around', 'gotou', 'yuuko', 'seiyuu', 'hiro', 'hidamari', 'sketch', 'hiatu', 'year', 'health', 'reason', 'back', 'hidamari', 'sketch', 'honeycomb', 'good', 'exampl', 'howev', 'pretti', 'atyp', 'situat', 'show', 'mostli', 'got', 'replac', 'end', 'unless', 'charact', 'crucial', 'import', 'like', 'theyll', 'replac', 'sinc', 'pretti', 'much', 'realist', 'option', 'happen', 'popular', 'charact', 'offseason', 'affect', 'possibl', 'sequel', 'eg', 'show', 'aya', 'hirano', 'lead', 'probabl', 'arent', 'sequel', 'market', 'usual', 'doesnt', 'hurt', 'seiyuu', 'career', 'much', 'occur', 'good', 'reason', 'eg', 'health', 'impact', 'inevit']"
57,"['princess', 'tutu', 'anim', 'us', 'lot', 'music', 'perform', 'ballet', 'swan', 'lake', 'nutcrack', 'howev', 'anim', 'main', 'plotlin', 'princess', 'help', 'return', 'princ', 'heart', 'die', 'upon', 'confess', 'love', 'close', 'follow', 'either', 'stori', 'major', 'deviat']"
58,"['saiunkoku', 'monogatari', 'base', 'seri', 'light', 'novel', 'close', 'anim', 'season', 'follow', 'origin', 'seri', 'main', 'point', 'deviat']"
59,"['region', 'peopl', 'dont', 'differ', 'anim', 'regular', 'cartoon', 'watch', 'anim', 'hear', 'somehow', 'im', 'watch', 'regular', 'cartoon', 'henc', 'im', 'childish', 'sometim', 'even', 'display', 'sarcast', 'attitud', 'give', 'seriou', 'long', 'explan', 'wouldnt', 'possibl', 'effect', 'explain', 'anim', 'differ', 'regular', 'cartoon']"
60,"['product', 'product', 'peopl', 'manga', 'product', 'happen', 'much', 'smaller', 'scale', 'compar', 'anim', 'product', 'anim', 'product', 'top', 'publish', 'front', 'cost', 'staff', 'sponsor', 'script', 'characterset', 'design', 'broadcast', 'right', 'advertis', 'readi', 'product', 'even', 'start', 'typic', 'half', 'budget', 'alloc', 'anim', 'use', 'studio', 'charg', 'manga', 'product', 'vari', 'greatli', 'author', 'interest', 'creativ', 'input', 'assist', 'other', 'ask', 'assist', 'artist', 'much', 'work', 'possibl', 'other', 'assist', 'fill', 'page', 'artist', 'draw', 'name', 'kind', 'storyboard', 'manga', 'main', 'charact', 'anim', 'usual', 'creat', 'broadcast', 'loss', 'profit', 'made', 'dvdbluray', 'merchandis', 'sale', 'manga', 'produc', 'loss', 'viabil', 'access', 'rank', 'parent', 'magazin', 'reader', 'survey', 'poll', 'takubon', 'volum', 'sale', 'gener', 'take', 'around', 'yen', 'minut', 'episod', 'anim', 'take', 'yen', 'produc', 'weekli', 'serial', 'typic', 'take', 'month', 'tankoubon', 'compil', 'page', 'monthli', 'product', 'rate', 'top', 'factor', 'rent', 'studio', 'payrol', 'pay', 'pension', 'staff', 'typic', 'compos', 'chiefassist', 'assist', 'background', 'artist', 'typic', 'group', 'peopl', 'differ', 'authorsartist', 'differ', 'rate', 'depend', 'publish', 'experiencefam', 'authorartist', 'anim', 'contract', 'employe', 'product', 'studio', 'therefor', 'benefit', 'pension', 'vacat', 'mani', 'product', 'employ', 'mani', 'anim', 'tween', 'anim', 'hard', 'keep', 'track', 'who', 'well', 'manag', 'small', 'anim', 'product', 'sometim', 'effici', 'larg', 'high', 'budget', 'manga', 'serial', 'opposit', 'true', 'well', 'usual', 'come', 'chang', 'work', 'trickl']"
